stop_id;STOP_NAME
RTP:SA:3749999;HOPITAL BRETONNEAU
RTP:SA:3690061;HOPITAL DE LA CROIX SAINT-SIMON
RTP:SA:3749879;HOPITAL DE VAUGIRARD
RTP:SA:3764713;HOPITAL DES ENFANTS MALADES
RTP:SA:3764479;HOPITAL EUROPEEN GEORGES POMPIDOU
RTP:SA:3749747;HOPITAL R DEBRE - PRE ST GERVAIS
RTP:SA:3747854;HOPITAL ROTHSCHILD
RTP:SA:3926294;HOPITAL SAINT-ANTOINE
RTP:SA:3747917;HOPITAL SAINT-LOUIS
RTP:SA:3764625;HOPITAL SAINT-VINCENT DE PAUL
RTP:SA:3687633;HOPITAL TENON
RTP:SA:3765273;HOPITAL TROUSSEAU
RTP:SA:3442460;HOPITAUX BROUSSAIS ET SAINT-JOSEPH
RTP:SA:3687086;HOTEL DE VILLE DE PARIS_4E__ARRONDISSEMENT
RTP:SA:3764603;HOTEL DE VILLE
RTP:SA:1892;HOTEL DE VILLE
RTP:SA:3764515;ILE SAINT-LOUIS
RTP:SA:3690053;INDRE
RTP:SA:3893449;INSTITUT DENTAIRE
RTP:SA:3748095;INSTITUT DU MONDE ARABE
RTP:SA:3686906;INSTITUT NATIONAL DU SPORT, DE L'EXPERTISE ET DE LA PERFORMANCE
RTP:SA:3764450;INSTITUT PASTEUR
RTP:SA:3765220;INVALIDES
RTP:SA:3687106;INVALIDES - LA TOUR-MAUBOURG
RTP:SA:1895;IENA
RTP:SA:3807623;JACOB
RTP:SA:3749996;JACQUES CARTIER
RTP:SA:1898;JACQUES-BONSERGENT
RTP:SA:4978103;JARDIN D'ACCLIMATATION
RTP:SA:3716892;JARDIN DES PLANTES
RTP:SA:1899;JASMIN
RTP:SA:1900;JAURES
RTP:SA:1903;JAVEL-ANDRE-CITROEN
RTP:SA:3740553;JEAN BOLOGNE
RTP:SA:3765023;JEAN JAURES - LORRAINE
RTP:SA:3926412;JEAN MENANS - BUTTES CHAUMONT
RTP:SA:3442445;JEAN MOULIN
RTP:SA:3765224;JEAN NICOT - EGLISE AMERICAINE
RTP:SA:3747984;JEAN-PIERRE TIMBAUD
RTP:SA:3687466;JEAN-PIERRE TIMBAUD - RICHARD LENOIR
RTP:SA:3893378;JEANNE D'ARC - EGLISE DE LA GARE
RTP:SA:3764523;JENNER - JEANNE D'ARC
RTP:SA:4009652;JOUFFROY - MALESHERBES
RTP:SA:3765162;JOUFFROY - TOCQUEVILLE
RTP:SA:5018171;JOUFFROY D'ABBANS - MALESHERBES
RTP:SA:5018170;JOUFFROY D'ABBANS - TOCQUEVILLE
RTP:SA:5018173;JOUFFROY D'ABBANS - VILLIERS
RTP:SA:1905;JOURDAIN
RTP:SA:3764488;JOURDAN-MONTSOURIS
RTP:SA:3893537;JOUVENET
RTP:SA:3926398;JULES FERRY
RTP:SA:1906;JULES JOFFRIN
RTP:SA:3747864;JULES LEMAITRE - MAURICE RAVEL
RTP:SA:3687446;JULIEN LACROIX
RTP:SA:3765165;JULIETTE LAMBER
RTP:SA:1907;JUSSIEU
RTP:SA:3740318;KLEBER - PAUL VALERY
RTP:SA:1909;KLEBER
RTP:SA:3754288;KUSS
RTP:SA:4354152;L'ERMITAGE
RTP:SA:4022976;L'YSER ET LA SOMME
RTP:SA:3740522;LA BOETIE - CHAMPS-ELYSEES
RTP:SA:3740520;LA BOETIE - MIROMESNIL
RTP:SA:3893474;LA BOETIE - PERCIER
RTP:SA:3687254;LA BOULE BLANCHE
RTP:SA:4016316;LA BRUYERE
RTP:SA:3748055;LA CERISAIE
RTP:SA:1910;LA CHAPELLE
RTP:SA:3750010;LA CONDAMINE
RTP:SA:3666619;LA FAYETTE - DUNKERQUE
RTP:SA:5018142;LA FAYETTE - MAGENTA - GARE DU NORD
RTP:SA:4354371;LA FAYETTE - SAINT QUENTIN - GARE DU NORD
RTP:SA:4008275;LA FONTAINE - RADIO FRANCE
RTP:SA:1656;LA FOURCHE
RTP:SA:5018207;LA JONQUIERE
RTP:SA:1657;LA MOTTE-PICQUET-GRENELLE
RTP:SA:2242;LA MUETTE
RTP:SA:3740538;LA MUETTE - BOULAINVILLIERS
RTP:SA:4008240;LA MUETTE - BOULAINVILLIERS RER
RTP:SA:3765276;LA PLAINE
RTP:SA:3687266;LA REUNION
RTP:SA:3754270;LA SIBELLE
RTP:SA:3754276;LA TOMBE ISSOIRE
RTP:SA:3740536;LA TOUR
RTP:SA:4016472;LA TOUR D'AUVERGNE
RTP:SA:3343759;LA TOUR-MAUBOURG
RTP:SA:3687116;LA TOUR-MAUBOURG - SAINT-DOMINIQUE
RTP:SA:3926390;LA VERRERIE
RTP:SA:4016447;LABAT
RTP:SA:3893514;LABROUSTE
RTP:SA:3781548;LAGRANGE
RTP:SA:1920;LAMARCK-CAULAINCOURT
RTP:SA:4008437;LAMBALLE - ANKARA
RTP:SA:3750018;LANTIEZ
RTP:SA:1922;LAUMIERE
RTP:SA:3813003;LAURISTON
RTP:SA:4687378;LE JOUR SE LEVE
RTP:SA:4008434;LE NOTRE
RTP:SA:1849;LE PELETIER
RTP:SA:3764481;LEBLANC - DELBARRE
RTP:SA:3811272;LECOURBE - VASCO DE GAMA
RTP:SA:3343787;LEDRU-ROLLIN
RTP:SA:4010698;LEGENDRE
RTP:SA:4008243;LEOPOLD II
RTP:SA:3893372;LES ALPES
RTP:SA:3764620;LES ECOLES
RTP:SA:1854;LES GOBELINS
RTP:SA:3764645;LES HALLES - CENTRE GEORGES POMPIDOU
RTP:SA:3926145;LES HAUTS DE MALESHERBES
RTP:SA:3749745;LES MARRONNIERS
RTP:SA:4024537;LES MOULINS - CAMPING
RTP:SA:4035719;LES ROSES
RTP:SA:3749672;LES VIGNES
RTP:SA:4008241;LES VIGNES - BOULAINVILLIERS RER
RTP:SA:3765216;LILLE - UNIVERSITE
RTP:SA:4009645;LISBONNE - MAIRIE DU 8E
RTP:SA:1858;LIEGE
RTP:SA:3750004;LOBLIGEOIS
RTP:SA:3813185;LONGCHAMP
RTP:SA:3442439;LOSSERAND - MAINE
RTP:SA:3807602;LOUIS ARMAND
RTP:SA:1860;LOUIS BLANC
RTP:SA:3740550;LOUIS BOILLY
RTP:SA:3765272;LOUIS BRAILLE
RTP:SA:3926153;LOUIS LOUCHEUR
RTP:SA:3749795;LOUISE THULIEZ
RTP:SA:3343336;LOURMEL
RTP:SA:1864;LOUVRE-RIVOLI
RTP:SA:3812999;LUBECK
RTP:SA:1866;LUXEMBOURG
RTP:SA:3750001;LYCEE AUGUSTE RENOIR
RTP:SA:3813167;LYCEE CLAUDE BERNARD
RTP:SA:3893451;LYCEE CLAUDE MONET
RTP:SA:3926420;LYCEE DIDEROT
RTP:SA:3887764;LYCEE HENRI IV
RTP:SA:3926149;LYCEE HONORE DE BALZAC
RTP:SA:4008233;LYCEE JANSON DE SAILLY
RTP:SA:3807599;LYCEE LOUIS ARMAND
RTP:SA:3747836;LYON - LEDRU ROLLIN
RTP:SA:1867;MABILLON
RTP:SA:3750024;MACDONALD
RTP:SA:3716875;MADELEINE
